,3
799,H
800,H
801,A
802,A
803,D
804,A
805,A
806,D
807,H
808,H
809,A
810,D
811,D
812,H
813,H
814,D
815,A
816,H
817,A
818,H
819,A
820,A
821,H
822,H
823,H
824,A
825,H
826,D
827,D
828,A
829,D
830,H
831,D
832,D
833,D
834,A
835,H
836,A
837,A
838,H
839,D
840,H
841,H
842,A
843,H
844,H
845,H
846,A
847,A
848,H
849,A
850,D
851,H
852,A
853,A
854,D
855,A
856,H
857,A
858,A
859,A
860,H
861,D
862,H
863,D
864,H
865,D
866,D
867,D
868,A
869,A
870,A
871,H
872,H
873,D
874,D
875,D
876,H
877,A
878,H
879,A
880,D
881,D
882,H
883,D
884,A
885,H
886,A
887,H
888,A
889,A
890,D
891,D
892,H
893,H
894,A
895,A
896,H
897,H
898,A
899,H
900,D
901,A
902,D
903,H
904,D
905,A
906,A
907,A
908,H
909,H
910,H
911,H
912,H
913,H
914,A
915,H
916,A
917,A
918,H
919,H
920,A
921,H
922,A
923,H
924,A
925,H
926,H
927,A
928,A
929,A
930,D
931,H
932,H
933,A
934,H
935,H
936,D
937,H
938,D
939,H
940,H
941,H
942,D
943,A
944,H
945,A
946,A
947,D
948,D
949,H
950,A
951,H
952,H
953,A
954,D
955,H
956,A
957,A
958,A
959,H
960,H
961,D
962,H
963,A
964,A
965,H
966,H
967,D
968,A
969,H
970,A
971,H
972,D
973,A
974,A
975,H
976,D
977,D
978,A
979,A
980,H
981,H
982,A
983,D
984,H
985,H
986,A
987,A
988,H
989,H
990,H
991,H
992,A
993,A
994,H
995,H
996,H
997,H
998,H
999,H
1000,A
1001,D
1002,A
1003,A
1004,A
1005,A
1006,A
1007,D
1008,H
1009,D
1010,H
1011,A
1012,D
1013,A
1014,A
1015,H
1016,H
1017,A
1018,H
1019,H
1020,H
1021,D
1022,H
1023,H
1024,A
1025,H
1026,H
1027,D
1028,H
1029,H
1030,A
1031,H
1032,H
1033,A
1034,H
1035,A
1036,A
1037,D
1038,H
1039,H
1040,A
1041,H
1042,H
1043,H
1044,H
1045,D
1046,D
1047,D
1048,A
1049,A
1050,H
1051,H
1052,H
1053,D
1054,H
1055,D
1056,A
1057,H
1058,A
1059,A
1060,A
1061,D
1062,H
1063,H
1064,D
1065,D
1066,A
1067,H
1068,D
1069,A
1070,A
1071,H
1072,H
1073,A
1074,H
1075,H
1076,D
1077,H
1078,D
1079,A
1080,D
1081,H
1082,D
1083,D
1084,A
1085,H
1086,H
1087,D
1088,H
1089,A
1090,H
1091,A
1092,A
1093,H
1094,D
1095,D
1096,A
1097,D
1098,D
1099,A
1100,D
1101,A
1102,H
1103,A
1104,A
1105,H
1106,H
1107,A
1108,H
1109,A
1110,A
1111,D
1112,H
1113,H
1114,D
1115,H
1116,H
1117,A
1118,A
1119,A
1120,H
1121,H
1122,H
1123,H
1124,A
1125,H
1126,D
